description,factor_level_name,years,treatment_factor,treatment_factor_rdfType,amount,amount unit,frequency,treatment_form,treatment_form_rdfType
Factor level shows annual nitrogen fertilizer treatment,nil,2001-2015,nitrogen fertilizer exposure,,0,,,,
"Factor level shows annual nitrogen fertilizer treatment, as a single application in the spring",N1,2001-2015,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,48,kg N ha-1,annual,"ammonium nitrate (Nitram, 34.5% N)",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment, as a single application in the spring",N2,2001-2015,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,96,kg N ha-1,annual,"ammonium nitrate (Nitram, 34.5% N)",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment, as a single application in the spring",N3,2001-2015,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,144,kg N ha-1,annual,"ammonium nitrate (Nitram, 34.5% N)",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment, as a single application in the spring",N4,2001-2015,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,192,kg N ha-1,annual,"ammonium nitrate (Nitram, 34.5% N)",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment, as a single application in the spring",N5,2001-2015,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,240,kg N ha-1,annual,"ammonium nitrate (Nitram, 34.5% N)",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment, as a single application in the spring",N6,2001-2015,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,288,kg N ha-1,annual,"ammonium nitrate (Nitram, 34.5% N)",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment, as a split application, three times in the spring",N1+N1+N1,2001-2015,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,144,kg N ha-1,3 times a year in the spring,"ammonium nitrate (Nitram, 34.5% N)",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment, as a split application, three times in the spring",N1+N2+N1,2001-2015,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,192,kg N ha-1,3 times a year in the spring,"ammonium nitrate (Nitram, 34.5% N)",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment, as a split application, three times in the spring",N1+N3+N1,2001-2015,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,240,kg N ha-1,3 times a year in the spring,"ammonium nitrate (Nitram, 34.5% N)",http://aims.fao.org/aos/agrovoc/c_352
"Factor level shows annual nitrogen fertilizer treatment, as a split application, three times in the spring",N1+N4+N1,2001-2015,nitrogen fertilizer exposure,http://purl.obolibrary.org/obo/PECO_0007102 ,288,kg N ha-1,3 times a year in the spring,"ammonium nitrate (Nitram, 34.5% N)",http://aims.fao.org/aos/agrovoc/c_352
